Date,Open,Close,Ticker
2013-01-02,27.25,27.62,MSFT
2013-01-03,27.63,27.25,MSFT
2013-01-04,27.27,26.74,MSFT
2013-01-07,26.77,26.69,MSFT
2013-01-08,26.75,26.55,MSFT
2013-01-09,26.72,26.7,MSFT
2013-01-10,26.65,26.46,MSFT
2013-01-11,26.49,26.83,MSFT
2013-01-14,26.9,26.89,MSFT
2013-01-15,26.83,27.21,MSFT
2013-01-16,27.15,27.04,MSFT
2013-01-17,27.19,27.25,MSFT
2013-01-18,27.1,27.25,MSFT
2013-01-22,27.3,27.15,MSFT
2013-01-23,27.2,27.61,MSFT
2013-01-24,27.7,27.63,MSFT
2013-01-25,27.58,27.88,MSFT
2013-01-28,28.01,27.91,MSFT
2013-01-29,27.82,28.01,MSFT
2013-01-30,28.01,27.85,MSFT
2013-01-31,27.79,27.45,MSFT
2013-02-01,27.67,27.93,MSFT
2013-02-04,27.87,27.44,MSFT
2013-02-05,27.62,27.5,MSFT
2013-02-06,27.38,27.34,MSFT
2013-02-07,27.35,27.28,MSFT
2013-02-08,27.35,27.55,MSFT
2013-02-11,27.65,27.86,MSFT
2013-02-12,27.88,27.88,MSFT
2013-02-13,27.93,28.03,MSFT
2013-02-14,27.92,28.04,MSFT
2013-02-15,28.04,28.01,MSFT
2013-02-19,27.88,28.04,MSFT
2013-02-20,28.13,27.87,MSFT
2013-02-21,27.74,27.49,MSFT
2013-02-22,27.68,27.76,MSFT
2013-02-25,27.97,27.37,MSFT
2013-02-26,27.38,27.37,MSFT
2013-02-27,27.42,27.81,MSFT
2013-02-28,27.88,27.8,MSFT
2013-03-01,27.72,27.95,MSFT
2013-03-04,27.85,28.15,MSFT
2013-03-05,28.29,28.35,MSFT
2013-03-06,28.21,28.09,MSFT
2013-03-07,28.11,28.14,MSFT
2013-03-08,28.25,28.0,MSFT
2013-03-11,27.94,27.87,MSFT
2013-03-12,27.84,27.91,MSFT
2013-03-13,27.87,27.92,MSFT
2013-03-14,28.0,28.14,MSFT
2013-03-15,28.03,28.04,MSFT
2013-03-18,27.88,28.1,MSFT
2013-03-19,28.12,28.18,MSFT
2013-03-20,28.34,28.32,MSFT
2013-03-21,28.11,28.11,MSFT
2013-03-22,28.19,28.25,MSFT
2013-03-25,28.3,28.16,MSFT
2013-03-26,28.24,28.16,MSFT
2013-03-27,28.14,28.37,MSFT
2013-03-28,28.32,28.6,MSFT
2013-04-01,28.64,28.61,MSFT
2013-04-02,28.59,28.8,MSFT
2013-04-03,28.75,28.56,MSFT
2013-04-04,28.39,28.6,MSFT
2013-04-05,28.22,28.7,MSFT
2013-04-08,28.73,28.59,MSFT
2013-04-09,28.73,29.61,MSFT
2013-04-10,29.57,30.28,MSFT
2013-04-11,29.1,28.94,MSFT
2013-04-12,28.85,28.79,MSFT
2013-04-15,28.65,28.69,MSFT
2013-04-16,28.9,28.97,MSFT
2013-04-17,28.85,28.82,MSFT
2013-04-18,28.95,28.79,MSFT
2013-04-19,29.62,29.76,MSFT
2013-04-22,30.3,30.83,MSFT
2013-04-23,30.7,30.6,MSFT
2013-04-24,30.62,31.76,MSFT
2013-04-25,31.71,31.94,MSFT
2013-04-26,31.9,31.79,MSFT
2013-04-29,31.8,32.61,MSFT
2013-04-30,32.56,33.1,MSFT
2013-05-01,32.93,32.72,MSFT
2013-05-02,32.63,33.16,MSFT
2013-05-03,33.23,33.49,MSFT
2013-05-06,33.42,33.75,MSFT
2013-05-07,33.65,33.31,MSFT
2013-05-08,33.07,32.99,MSFT
2013-05-09,32.85,32.66,MSFT
2013-05-10,32.67,32.69,MSFT
2013-05-13,32.61,33.03,MSFT
2013-05-14,32.86,33.53,MSFT
2013-05-15,33.45,33.84,MSFT
2013-05-16,33.64,34.08,MSFT
2013-05-17,34.13,34.87,MSFT
2013-05-20,34.73,35.08,MSFT
2013-05-21,35.1,34.85,MSFT
2013-05-22,34.79,34.61,MSFT
2013-05-23,34.23,34.15,MSFT
2013-05-24,33.92,34.27,MSFT
2013-05-28,34.42,35.02,MSFT
2013-05-29,34.74,34.88,MSFT
2013-05-30,34.85,35.03,MSFT
2013-05-31,34.82,34.9,MSFT
2013-06-03,34.92,35.59,MSFT
2013-06-04,35.62,34.99,MSFT
2013-06-05,34.6,34.78,MSFT
2013-06-06,34.84,34.96,MSFT
2013-06-07,35.25,35.67,MSFT
2013-06-10,35.51,35.47,MSFT
2013-06-11,35.05,34.84,MSFT
2013-06-12,35.14,35.0,MSFT
2013-06-13,34.99,34.72,MSFT
2013-06-14,34.55,34.4,MSFT
2013-06-17,34.69,35.0,MSFT
2013-06-18,34.97,34.98,MSFT
2013-06-19,34.96,34.59,MSFT
2013-06-20,34.26,33.49,MSFT
2013-06-21,33.66,33.26,MSFT
2013-06-24,32.94,33.72,MSFT
2013-06-25,34.08,33.67,MSFT
2013-06-26,34.12,34.35,MSFT
2013-06-27,34.52,34.62,MSFT
2013-06-28,34.38,34.54,MSFT
2013-07-01,34.75,34.36,MSFT
2013-07-02,34.41,33.94,MSFT
2013-07-03,33.66,34.01,MSFT
2013-07-05,34.09,34.21,MSFT
2013-07-08,34.35,34.32,MSFT
2013-07-09,34.58,34.35,MSFT
2013-07-10,34.34,34.7,MSFT
2013-07-11,35.0,35.68,MSFT
2013-07-12,35.58,35.67,MSFT
2013-07-15,35.66,36.17,MSFT
2013-07-16,36.01,36.27,MSFT
2013-07-17,36.34,35.74,MSFT
2013-07-18,35.72,35.44,MSFT
2013-07-19,32.4,31.4,MSFT
2013-07-22,31.7,32.01,MSFT
2013-07-23,31.91,31.82,MSFT
2013-07-24,32.04,31.96,MSFT
2013-07-25,31.62,31.39,MSFT
2013-07-26,31.26,31.62,MSFT
2013-07-29,31.47,31.54,MSFT
2013-07-30,31.78,31.85,MSFT
2013-07-31,31.97,31.84,MSFT
2013-08-01,32.06,31.67,MSFT
2013-08-02,31.69,31.89,MSFT
2013-08-05,31.9,31.7,MSFT
2013-08-06,31.55,31.58,MSFT
2013-08-07,31.54,32.06,MSFT
2013-08-08,32.24,32.89,MSFT
2013-08-09,32.77,32.7,MSFT
2013-08-12,32.46,32.87,MSFT
2013-08-13,32.51,32.23,MSFT
2013-08-14,32.14,32.35,MSFT
2013-08-15,32.0,31.79,MSFT
2013-08-16,31.79,31.8,MSFT
2013-08-19,31.76,31.39,MSFT
2013-08-20,31.44,31.62,MSFT
2013-08-21,31.61,31.61,MSFT
2013-08-22,32.18,32.39,MSFT
2013-08-23,35.17,34.75,MSFT
2013-08-26,34.4,34.15,MSFT
2013-08-27,33.52,33.26,MSFT
2013-08-28,33.39,33.02,MSFT
2013-08-29,32.93,33.55,MSFT
2013-08-30,33.37,33.4,MSFT
2013-09-03,31.75,31.88,MSFT
2013-09-04,31.39,31.2,MSFT
2013-09-05,31.1,31.24,MSFT
2013-09-06,31.31,31.15,MSFT
2013-09-09,31.22,31.66,MSFT
2013-09-10,31.9,32.39,MSFT
2013-09-11,32.57,32.74,MSFT
2013-09-12,32.72,32.69,MSFT
2013-09-13,32.77,33.03,MSFT
2013-09-16,33.38,32.8,MSFT
2013-09-17,33.42,32.93,MSFT
2013-09-18,32.99,33.32,MSFT
2013-09-19,33.48,33.64,MSFT
2013-09-20,33.41,32.79,MSFT
2013-09-23,32.54,32.74,MSFT
2013-09-24,32.87,32.46,MSFT
2013-09-25,32.49,32.5,MSFT
2013-09-26,32.64,32.77,MSFT
2013-09-27,32.88,33.27,MSFT
2013-09-30,33.0,33.28,MSFT
2013-10-01,33.35,33.58,MSFT
2013-10-02,33.36,33.92,MSFT
2013-10-03,33.88,33.86,MSFT
2013-10-04,33.69,33.88,MSFT
2013-10-07,33.6,33.3,MSFT
2013-10-08,33.31,33.01,MSFT
2013-10-09,33.07,33.07,MSFT
2013-10-10,33.31,33.76,MSFT
2013-10-11,33.68,34.13,MSFT
2013-10-14,33.9,34.45,MSFT
2013-10-15,34.67,34.49,MSFT
2013-10-16,34.6,34.64,MSFT
2013-10-17,34.45,34.92,MSFT
2013-10-18,34.82,34.96,MSFT
2013-10-21,34.98,34.99,MSFT
2013-10-22,35.02,34.58,MSFT
2013-10-23,34.35,33.76,MSFT
2013-10-24,33.82,33.72,MSFT
2013-10-25,35.88,35.73,MSFT
2013-10-28,35.61,35.57,MSFT
2013-10-29,35.63,35.52,MSFT
2013-10-30,35.53,35.54,MSFT
2013-10-31,35.66,35.4,MSFT
2013-11-01,35.67,35.52,MSFT
2013-11-04,35.59,35.94,MSFT
2013-11-05,35.79,36.64,MSFT
2013-11-06,37.24,38.18,MSFT
