Date,Open,Close,Ticker
2013-01-02,44.98,44.66,JPM
2013-01-03,44.74,44.57,JPM
2013-01-04,44.45,45.36,JPM
2013-01-07,45.09,45.41,JPM
2013-01-08,45.4,45.5,JPM
2013-01-09,45.56,45.47,JPM
2013-01-10,45.89,46.15,JPM
2013-01-11,45.97,46.14,JPM
2013-01-14,45.89,45.88,JPM
2013-01-15,45.49,46.35,JPM
2013-01-16,45.91,46.82,JPM
2013-01-17,46.4,46.44,JPM
2013-01-18,46.38,46.46,JPM
2013-01-22,46.25,46.54,JPM
2013-01-23,46.23,46.23,JPM
2013-01-24,46.24,46.37,JPM
2013-01-25,46.74,47.16,JPM
2013-01-28,46.84,46.64,JPM
2013-01-29,46.28,47.12,JPM
2013-01-30,47.04,47.13,JPM
2013-01-31,47.01,47.05,JPM
2013-02-01,47.4,47.85,JPM
2013-02-04,47.54,47.68,JPM
2013-02-05,47.94,48.79,JPM
2013-02-06,48.42,48.61,JPM
2013-02-07,48.65,48.23,JPM
2013-02-08,48.33,48.63,JPM
2013-02-11,48.51,48.66,JPM
2013-02-12,48.8,49.14,JPM
2013-02-13,49.35,48.68,JPM
2013-02-14,48.4,49.22,JPM
2013-02-15,49.35,48.88,JPM
2013-02-19,49.12,49.45,JPM
2013-02-20,49.35,48.61,JPM
2013-02-21,48.41,48.25,JPM
2013-02-22,48.63,48.91,JPM
2013-02-25,49.1,47.7,JPM
2013-02-26,48.22,47.6,JPM
2013-02-27,47.85,49.28,JPM
2013-02-28,49.16,48.92,JPM
2013-03-01,48.6,48.91,JPM
2013-03-04,48.73,49.1,JPM
2013-03-05,49.49,49.49,JPM
2013-03-06,49.88,50.03,JPM
2013-03-07,50.05,50.63,JPM
2013-03-08,50.59,50.2,JPM
2013-03-11,50.23,50.48,JPM
2013-03-12,50.35,50.28,JPM
2013-03-13,50.29,50.16,JPM
2013-03-14,50.25,51.0,JPM
2013-03-15,49.97,50.02,JPM
2013-03-18,49.19,49.51,JPM
2013-03-19,49.65,49.2,JPM
2013-03-20,49.57,49.12,JPM
2013-03-21,48.79,48.35,JPM
2013-03-22,48.63,48.78,JPM
2013-03-25,49.04,48.52,JPM
2013-03-26,48.74,48.64,JPM
2013-03-27,48.2,47.77,JPM
2013-03-28,47.84,47.46,JPM
2013-04-01,47.55,47.83,JPM
2013-04-02,48.01,48.28,JPM
2013-04-03,48.03,46.85,JPM
2013-04-04,46.96,47.49,JPM
2013-04-05,46.79,47.91,JPM
2013-04-08,47.9,48.58,JPM
2013-04-09,48.74,48.68,JPM
2013-04-10,48.94,49.25,JPM
2013-04-11,49.21,49.31,JPM
2013-04-12,48.9,49.01,JPM
2013-04-15,48.39,47.93,JPM
2013-04-16,48.43,48.49,JPM
2013-04-17,48.11,46.79,JPM
2013-04-18,46.8,46.64,JPM
2013-04-19,47.15,47.23,JPM
2013-04-22,47.4,47.35,JPM
2013-04-23,47.68,48.17,JPM
2013-04-24,48.32,48.72,JPM
2013-04-25,49.02,49.0,JPM
2013-04-26,48.86,48.88,JPM
2013-04-29,49.08,48.92,JPM
2013-04-30,48.96,49.01,JPM
2013-05-01,48.76,48.01,JPM
2013-05-02,48.25,48.08,JPM
2013-05-03,48.63,47.57,JPM
2013-05-06,47.71,48.18,JPM
2013-05-07,48.57,49.14,JPM
2013-05-08,49.22,49.76,JPM
2013-05-09,49.7,49.04,JPM
2013-05-10,49.05,48.96,JPM
2013-05-13,48.84,49.67,JPM
2013-05-14,49.77,50.23,JPM
2013-05-15,50.2,51.09,JPM
2013-05-16,50.87,50.97,JPM
2013-05-17,51.26,52.3,JPM
2013-05-20,52.28,52.29,JPM
2013-05-21,52.53,53.02,JPM
2013-05-22,53.43,53.63,JPM
2013-05-23,52.82,53.35,JPM
2013-05-24,52.9,53.66,JPM
2013-05-28,54.56,54.6,JPM
2013-05-29,54.09,54.67,JPM
2013-05-30,54.6,55.62,JPM
2013-05-31,55.71,54.59,JPM
2013-06-03,54.6,54.49,JPM
2013-06-04,54.54,54.04,JPM
2013-06-05,53.78,53.03,JPM
2013-06-06,52.84,53.5,JPM
2013-06-07,53.77,54.27,JPM
2013-06-10,54.64,54.36,JPM
2013-06-11,53.46,53.49,JPM
2013-06-12,53.9,53.18,JPM
2013-06-13,53.0,54.17,JPM
2013-06-14,54.04,53.13,JPM
2013-06-17,53.7,53.85,JPM
2013-06-18,54.03,54.11,JPM
2013-06-19,53.99,53.55,JPM
2013-06-20,53.08,52.48,JPM
2013-06-21,52.96,51.96,JPM
2013-06-24,50.88,50.92,JPM
2013-06-25,51.51,52.08,JPM
2013-06-26,52.65,52.5,JPM
2013-06-27,53.03,53.15,JPM
2013-06-28,53.12,52.79,JPM
2013-07-01,53.22,52.49,JPM
2013-07-02,52.57,52.8,JPM
2013-07-03,52.31,52.77,JPM
2013-07-05,53.36,53.99,JPM
2013-07-08,54.54,54.7,JPM
2013-07-09,55.07,54.89,JPM
2013-07-10,54.77,54.83,JPM
2013-07-11,55.84,55.14,JPM
2013-07-12,55.51,54.97,JPM
2013-07-15,55.49,54.89,JPM
2013-07-16,54.9,55.01,JPM
2013-07-17,55.05,55.27,JPM
2013-07-18,55.51,56.37,JPM
2013-07-19,56.51,56.16,JPM
2013-07-22,56.17,56.56,JPM
2013-07-23,56.72,56.67,JPM
2013-07-24,56.92,56.63,JPM
2013-07-25,56.45,56.5,JPM
2013-07-26,56.06,56.05,JPM
2013-07-29,55.98,55.69,JPM
2013-07-30,55.87,55.33,JPM
2013-07-31,55.58,55.73,JPM
2013-08-01,56.36,56.54,JPM
2013-08-02,56.27,56.49,JPM
2013-08-05,56.33,56.1,JPM
2013-08-06,55.99,55.49,JPM
2013-08-07,55.06,55.3,JPM
2013-08-08,55.42,54.83,JPM
2013-08-09,54.69,54.52,JPM
2013-08-12,54.04,54.09,JPM
2013-08-13,54.22,54.29,JPM
2013-08-14,54.33,54.15,JPM
2013-08-15,53.52,53.29,JPM
2013-08-16,53.07,53.29,JPM
2013-08-19,52.89,51.83,JPM
2013-08-20,51.78,52.12,JPM
2013-08-21,51.92,51.63,JPM
2013-08-22,52.0,52.21,JPM
2013-08-23,52.27,52.32,JPM
2013-08-26,52.16,51.8,JPM
2013-08-27,51.02,50.6,JPM
2013-08-28,50.33,50.58,JPM
2013-08-29,50.59,50.7,JPM
2013-08-30,50.82,50.53,JPM
2013-09-03,51.25,51.13,JPM
2013-09-04,51.16,51.87,JPM
2013-09-05,52.03,52.11,JPM
2013-09-06,52.41,52.56,JPM
2013-09-09,52.78,52.86,JPM
2013-09-10,53.83,53.67,JPM
2013-09-11,53.37,53.26,JPM
2013-09-12,53.43,52.24,JPM
2013-09-13,52.29,52.59,JPM
2013-09-16,53.45,53.14,JPM
2013-09-17,53.19,53.09,JPM
2013-09-18,52.69,53.41,JPM
2013-09-19,53.63,52.75,JPM
2013-09-20,52.95,52.8,JPM
2013-09-23,52.08,51.46,JPM
2013-09-24,51.01,50.32,JPM
2013-09-25,50.22,51.7,JPM
2013-09-26,51.93,51.89,JPM
2013-09-27,51.5,52.24,JPM
2013-09-30,51.73,51.69,JPM
2013-10-01,51.64,51.96,JPM
2013-10-02,51.32,52.09,JPM
2013-10-03,52.0,51.94,JPM
2013-10-04,52.07,52.67,JPM
2013-10-07,52.29,51.83,JPM
2013-10-08,51.83,50.87,JPM
2013-10-09,51.17,50.75,JPM
2013-10-10,51.84,52.52,JPM
2013-10-11,52.96,52.51,JPM
2013-10-14,51.94,52.71,JPM
2013-10-15,52.91,52.31,JPM
2013-10-16,52.61,54.0,JPM
2013-10-17,53.79,54.21,JPM
2013-10-18,54.26,54.3,JPM
2013-10-21,54.27,54.27,JPM
2013-10-22,54.65,53.62,JPM
2013-10-23,53.31,52.75,JPM
2013-10-24,52.84,52.48,JPM
2013-10-25,52.16,52.77,JPM
2013-10-28,52.89,52.68,JPM
2013-10-29,52.83,52.73,JPM
2013-10-30,53.0,52.6,JPM
2013-10-31,52.65,51.54,JPM
2013-11-01,51.45,52.51,JPM
2013-11-04,52.74,52.04,JPM
2013-11-05,51.85,51.95,JPM
2013-11-06,52.26,52.1,JPM
2013-11-07,52.13,51.65,JPM
2013-11-08,51.83,53.96,JPM
2013-11-11,53.91,54.1,JPM
2013-11-12,53.93,53.97,JPM
2013-11-13,53.52,54.14,JPM
2013-11-14,54.26,54.4,JPM
2013-11-15,54.27,54.87,JPM
2013-11-18,55.49,55.74,JPM
2013-11-19,55.97,56.15,JPM
2013-11-20,56.43,56.1,JPM
2013-11-21,56.28,57.22,JPM
2013-11-22,57.25,57.46,JPM
2013-11-25,57.5,57.65,JPM
2013-11-26,57.63,57.17,JPM
2013-11-27,57.58,57.48,JPM
2013-11-29,57.58,57.22,JPM
2013-12-02,57.1,56.98,JPM
2013-12-03,56.89,56.86,JPM
2013-12-04,56.44,57.19,JPM
2013-12-05,56.71,55.82,JPM
2013-12-06,56.57,56.06,JPM
2013-12-09,56.29,56.51,JPM
2013-12-10,56.49,56.7,JPM
2013-12-11,56.53,56.07,JPM
2013-12-12,56.0,56.31,JPM
2013-12-13,56.39,56.17,JPM
2013-12-16,56.36,56.42,JPM
2013-12-17,56.65,55.72,JPM
2013-12-18,55.84,57.24,JPM
2013-12-19,57.1,57.23,JPM
2013-12-20,57.27,57.7,JPM
2013-12-23,57.97,58.24,JPM
2013-12-24,58.07,58.25,JPM
2013-12-26,58.35,58.2,JPM
2013-12-27,58.17,58.14,JPM
2013-12-30,58.14,57.95,JPM
2013-12-31,58.2,58.48,JPM
2014-01-02,58.31,58.21,JPM
2014-01-03,58.29,58.66,JPM
2014-01-06,59.16,59.0,JPM
2014-01-07,59.29,58.32,JPM
2014-01-08,58.54,58.87,JPM
2014-01-09,58.98,58.76,JPM
2014-01-10,58.67,58.49,JPM
2014-01-13,58.51,57.7,JPM
2014-01-14,58.3,57.74,JPM
2014-01-15,57.73,59.49,JPM
2014-01-16,58.79,58.99,JPM
2014-01-17,59.21,58.11,JPM
2014-01-21,58.09,58.17,JPM
2014-01-22,58.33,57.59,JPM
2014-01-23,57.09,56.47,JPM
2014-01-24,56.0,55.09,JPM
2014-01-27,55.08,55.09,JPM
2014-01-28,55.39,55.74,JPM
2014-01-29,54.96,55.53,JPM
2014-01-30,56.07,56.0,JPM
2014-01-31,55.5,55.36,JPM
2014-02-03,55.5,54.31,JPM
2014-02-04,54.72,54.95,JPM
2014-02-05,55.1,55.21,JPM
2014-02-06,55.35,56.48,JPM
2014-02-07,56.65,56.62,JPM
2014-02-10,56.77,56.74,JPM
2014-02-11,56.61,57.43,JPM
2014-02-12,57.34,57.52,JPM
2014-02-13,57.07,58.03,JPM
2014-02-14,57.89,58.15,JPM
2014-02-18,58.02,58.49,JPM
2014-02-19,58.36,57.26,JPM
2014-02-20,57.53,57.58,JPM
2014-02-21,57.59,57.61,JPM
2014-02-24,57.62,58.03,JPM
2014-02-25,57.9,57.03,JPM
2014-02-26,57.37,56.75,JPM
2014-02-27,56.78,56.69,JPM
2014-02-28,56.57,56.82,JPM
2014-03-03,56.3,56.21,JPM
2014-03-04,56.95,57.26,JPM
2014-03-05,57.48,58.16,JPM
2014-03-06,58.51,58.9,JPM
2014-03-07,59.35,59.4,JPM
2014-03-10,59.14,59.2,JPM
2014-03-11,59.42,58.19,JPM
2014-03-12,57.7,57.92,JPM
2014-03-13,58.0,57.42,JPM
2014-03-14,57.11,56.8,JPM
2014-03-17,57.21,57.58,JPM
2014-03-18,57.82,58.06,JPM
2014-03-19,57.99,58.3,JPM
2014-03-20,58.36,60.11,JPM
2014-03-21,60.96,60.17,JPM
2014-03-24,60.37,61.07,JPM
2014-03-25,61.11,60.93,JPM
2014-03-26,61.24,59.9,JPM
2014-03-27,59.94,59.92,JPM
2014-03-28,60.21,60.04,JPM
2014-03-31,60.83,60.71,JPM
2014-04-01,60.95,60.67,JPM
2014-04-02,60.37,60.48,JPM
2014-04-03,60.65,60.66,JPM
2014-04-04,61.02,59.81,JPM
2014-04-07,59.69,59.0,JPM
2014-04-08,58.8,58.85,JPM
2014-04-09,59.1,59.27,JPM
2014-04-10,59.35,57.4,JPM
