Date,Close,Ticker
2013-01-02,58.75,AXP
2013-01-03,59.0,AXP
2013-01-04,59.61,AXP
2013-01-07,59.86,AXP
2013-01-08,60.2,AXP
2013-01-09,60.26,AXP
2013-01-10,60.79,AXP
2013-01-11,61.24,AXP
2013-01-14,61.21,AXP
2013-01-15,60.76,AXP
2013-01-16,60.62,AXP
2013-01-17,60.74,AXP
2013-01-18,59.78,AXP
2013-01-22,59.4,AXP
2013-01-23,58.93,AXP
2013-01-24,59.3,AXP
2013-01-25,59.5,AXP
2013-01-28,59.07,AXP
2013-01-29,59.45,AXP
2013-01-30,59.33,AXP
2013-01-31,58.81,AXP
2013-02-01,59.91,AXP
2013-02-04,59.41,AXP
2013-02-05,60.66,AXP
2013-02-06,60.56,AXP
2013-02-07,62.14,AXP
2013-02-08,61.8,AXP
2013-02-11,61.98,AXP
2013-02-12,62.2,AXP
2013-02-13,62.1,AXP
2013-02-14,62.34,AXP
2013-02-15,61.69,AXP
2013-02-19,62.28,AXP
2013-02-20,61.91,AXP
2013-02-21,61.54,AXP
2013-02-22,62.57,AXP
2013-02-25,62.02,AXP
2013-02-26,61.92,AXP
2013-02-27,62.5,AXP
2013-02-28,62.15,AXP
2013-03-01,62.37,AXP
2013-03-04,62.89,AXP
2013-03-05,64.12,AXP
2013-03-06,64.65,AXP
2013-03-07,64.56,AXP
2013-03-08,64.7,AXP
2013-03-11,65.5,AXP
2013-03-12,65.29,AXP
2013-03-13,65.3,AXP
2013-03-14,65.38,AXP
2013-03-15,66.09,AXP
2013-03-18,65.78,AXP
2013-03-19,65.13,AXP
2013-03-20,66.0,AXP
2013-03-21,65.41,AXP
2013-03-22,66.22,AXP
2013-03-25,66.1,AXP
2013-03-26,67.17,AXP
2013-03-27,67.15,AXP
2013-03-28,67.46,AXP
2013-04-01,67.26,AXP
2013-04-02,67.64,AXP
2013-04-03,66.25,AXP
2013-04-04,66.73,AXP
2013-04-05,65.3,AXP
2013-04-08,65.6,AXP
2013-04-09,65.22,AXP
2013-04-10,65.4,AXP
2013-04-11,65.74,AXP
2013-04-12,65.68,AXP
2013-04-15,64.1,AXP
2013-04-16,64.59,AXP
2013-04-17,64.13,AXP
2013-04-18,65.04,AXP
2013-04-19,67.24,AXP
2013-04-22,66.66,AXP
2013-04-23,67.45,AXP
2013-04-24,67.42,AXP
2013-04-25,68.13,AXP
2013-04-26,67.75,AXP
2013-04-29,67.63,AXP
2013-04-30,68.41,AXP
2013-05-01,68.28,AXP
2013-05-02,69.38,AXP
2013-05-03,70.23,AXP
2013-05-06,70.06,AXP
2013-05-07,70.24,AXP
2013-05-08,70.31,AXP
2013-05-09,70.21,AXP
2013-05-10,70.08,AXP
2013-05-13,69.79,AXP
2013-05-14,71.51,AXP
2013-05-15,72.78,AXP
2013-05-16,72.23,AXP
2013-05-17,73.32,AXP
2013-05-20,74.4,AXP
2013-05-21,75.11,AXP
2013-05-22,74.44,AXP
2013-05-23,74.69,AXP
2013-05-24,75.27,AXP
2013-05-28,76.16,AXP
2013-05-29,75.83,AXP
2013-05-30,76.14,AXP
2013-05-31,75.71,AXP
2013-06-03,76.47,AXP
2013-06-04,76.06,AXP
2013-06-05,74.76,AXP
2013-06-06,76.24,AXP
2013-06-07,78.04,AXP
2013-06-10,78.28,AXP
2013-06-11,76.52,AXP
2013-06-12,74.72,AXP
2013-06-13,75.21,AXP
2013-06-14,72.97,AXP
2013-06-17,73.84,AXP
2013-06-18,74.98,AXP
2013-06-19,74.23,AXP
2013-06-20,72.92,AXP
2013-06-21,73.31,AXP
2013-06-24,72.01,AXP
2013-06-25,73.23,AXP
2013-06-26,73.9,AXP
2013-06-27,75.12,AXP
2013-06-28,74.76,AXP
2013-07-01,75.64,AXP
2013-07-02,74.62,AXP
2013-07-03,74.58,AXP
2013-07-05,76.31,AXP
2013-07-08,77.04,AXP
2013-07-09,77.61,AXP
2013-07-10,76.33,AXP
2013-07-11,76.94,AXP
2013-07-12,78.33,AXP
2013-07-15,77.85,AXP
2013-07-16,78.27,AXP
2013-07-17,76.8,AXP
2013-07-18,74.01,AXP
2013-07-19,74.06,AXP
2013-07-22,74.72,AXP
2013-07-23,74.41,AXP
2013-07-24,75.36,AXP
2013-07-25,75.77,AXP
2013-07-26,75.34,AXP
2013-07-29,75.06,AXP
2013-07-30,75.19,AXP
2013-07-31,73.77,AXP
2013-08-01,75.63,AXP
2013-08-02,75.69,AXP
2013-08-05,75.93,AXP
2013-08-06,75.81,AXP
2013-08-07,75.14,AXP
2013-08-08,76.19,AXP
2013-08-09,75.5,AXP
2013-08-12,75.49,AXP
2013-08-13,76.23,AXP
2013-08-14,75.88,AXP
2013-08-15,74.88,AXP
2013-08-16,75.17,AXP
2013-08-19,74.34,AXP
2013-08-20,74.27,AXP
2013-08-21,73.44,AXP
2013-08-22,73.86,AXP
2013-08-23,73.65,AXP
2013-08-26,73.61,AXP
2013-08-27,71.91,AXP
2013-08-28,72.01,AXP
2013-08-29,72.22,AXP
2013-08-30,71.91,AXP
2013-09-03,72.43,AXP
2013-09-04,73.14,AXP
2013-09-05,73.8,AXP
2013-09-06,73.35,AXP
2013-09-09,73.66,AXP
2013-09-10,74.6,AXP
2013-09-11,75.18,AXP
2013-09-12,75.29,AXP
2013-09-13,75.3,AXP
